t-SNE Dimension 1,t-SNE Dimension 2
28.92055,43.45392
27.54545,62.58094
-12.725817,-16.911066
-39.25021,-13.044241
-25.92489,-17.1206
-30.955803,-19.668861
-17.51893,-24.81374
-28.634548,-22.67901
-28.903849,-22.670135
-25.744398,-21.658554
-16.79789,-11.928982
-34.179848,-14.451153
-24.827963,-24.874636
-31.207075,-19.663868
-38.559803,-12.254493
-20.315256,-17.362661
-23.617859,-25.090195
-16.09409,-21.053835
-32.03415,-8.208824
-27.958149,-7.176477
-23.777052,-25.080702
-40.322117,-13.618353
-20.551266,-27.544727
-38.7406,-12.470848
-33.74269,-18.798517
-28.292406,-7.2674637
-41.543827,-15.893095
-17.07494,-15.433792
-43.16777,-16.544876
-18.21958,-16.873047
-22.590279,-17.742428
-41.36121,-17.230598
-15.0236845,-12.297773
-33.072865,-12.2341795
-16.256157,-9.760314
-15.635983,-10.594396
-18.545755,-26.903461
-15.066195,-21.40814
-16.838438,-11.886679
-41.17929,-17.029392
-12.586803,-16.780878
-17.358246,-20.458002
-13.849126,-18.264229
-29.7737,-12.742156
-31.788488,-7.4406986
-15.214104,-19.40111
-35.51871,-14.5845375
-33.19267,-11.3112135
-41.80496,-15.55502
-18.425089,-26.018482
-42.510983,-17.103785
-20.679905,-27.528214
-30.528027,-7.696012
-29.56416,-13.098772
-31.826569,-8.496233
-26.056082,-19.613272
-37.443306,-14.480736
-26.421598,-7.04402
-32.392075,-19.493422
-30.522373,-22.914522
-15.437741,-12.090056
-29.401697,-11.288635
-25.935179,-17.23045
-26.004086,-18.964825
-13.639308,-18.734589
-16.954168,-23.530722
-31.257647,-7.2632933
-18.352362,-13.288864
-18.283728,-25.92608
-16.904644,-15.618718
-32.89071,-12.171841
-16.863165,-10.422488
-25.122341,-24.776363
-22.880413,-25.369904
-25.842554,-16.670847
-15.75398,-9.640055
-33.410652,-16.385359
-28.816677,-7.3952656
-25.477427,-22.031979
-43.301014,-16.075125
-33.710243,-14.429225
-18.522013,-26.934738
-15.193568,-21.417788
-13.561894,-18.40948
-19.538351,-17.30008
-17.076126,-20.614529
-12.41656,-18.248556
-27.52877,-7.171568
-33.7227,-17.78007
-26.993446,-7.103328
-26.20438,-20.797323
-32.077812,-19.310503
-18.442852,-17.01856
-29.34806,-11.177709
-14.671353,-12.540322
-42.767456,-17.248215
-37.587994,-14.51204
-18.18393,-12.853156
-29.969225,-22.916147
-28.428858,-22.045538
-33.89077,-18.385244
-22.901941,-17.82067
85.70089,9.7235
77.17796,18.6179
87.233315,23.019318
91.13325,21.59471
85.57522,9.035213
69.55334,21.03939
86.68085,-3.2672548
73.3836,8.620573
72.48643,8.384438
84.56359,16.872452
90.243004,19.190199
83.42621,-0.38086188
69.67982,20.148256
81.60708,3.1373963
84.37639,-0.6116854
86.96761,11.817566
84.080574,-0.5986937
73.7717,14.113618
86.49629,6.9800844
75.369484,18.756828
91.46416,14.778628
94.636765,-0.054470208
95.007744,-0.0052771317
87.42682,23.00069
74.399155,7.1890397
82.11415,0.11037434
81.18147,15.190094
72.78263,8.841204
90.42404,21.983988
85.150604,14.755737
87.98506,14.618813
72.32007,7.532996
89.14954,13.861971
74.76289,14.919175
80.414085,1.3091141
89.6765,2.5915859
72.37256,13.439779
95.76665,-2.731578
